organization_name,department_name,department_name_harmonised
GEOMAR,GEOMAR - Helmholtz Centre for Ocean Research [Kiel] (Wischhofstr. 1-3,GEOMAR
GEOMAR,GEOMAR - Helmholtz Zentrum für Ozeanforschung; Kiel Germany,GEOMAR
GEOMAR,GEOMAR - Helmholtz-Zentrum für Ozeanforschung Kiel,GEOMAR
GEOMAR,GEOMAR -Helmholtz Zentrum für Ozeanforschung,GEOMAR
GEOMAR,GEOMAR Helmholtz Center for Ocean Research,GEOMAR
GEOMAR,GEOMAR Helmholtz Center for Ocean Research Kiel,GEOMAR
GEOMAR,GEOMAR Helmholtz Center for Ocean Research Kiel Kiel Schleswig‐Holstein Germany,GEOMAR
GEOMAR,GEOMAR Helmholtz Centre Ocean Research Kiel,GEOMAR
GEOMAR,GEOMAR Helmholtz Centre of Ocean Research,GEOMAR
GEOMAR,GEOMAR Helmholtz Centre of Ocean Research Kiel,GEOMAR
GEOMAR,GEOMAR Helmholtz centre for Ocean Research Kiel,GEOMAR
GEOMAR,GEOMAR Helmholtz-Centre for Ocean Research,GEOMAR
GEOMAR,GEOMAR Helmholtz-Centre for Ocean Research Kiel,GEOMAR
GEOMAR,GEOMAR Helmholtz-Centre for Ocean Sciences Kiel Kiel Germany,GEOMAR
GEOMAR,GEOMAR Helmholtz-Institute for Ocean Science,GEOMAR
GEOMAR,GEOMAR Helmholtz-Zentrum Für Ozeanforschung Kiel,GEOMAR
GEOMAR,GEOMAR Helmholtz-Zentrum f ür Ozeanforschung Kiel,GEOMAR
GEOMAR,GEOMAR Helmholtz-Zentrum for Ocean Research Kiel,GEOMAR
GEOMAR,GEOMAR Helmholtz-Zentrum fÃ¼r Ozeanforschung Kiel,GEOMAR
GEOMAR,GEOMAR Helmholtz-Zentrum für Ozean-forschung Kiel,GEOMAR
GEOMAR,GEOMAR Helmholtz-Zentrum für Ozeanforschung,GEOMAR
GEOMAR,GEOMAR Helmholtz-Zentrum für Ozeanforschung Kiel,GEOMAR
GEOMAR,GEOMAR Helmholtzzentrum für Ozeanforschung,GEOMAR
GEOMAR,GEOMAR Helmholtz‐Centre for Ocean Research Kiel,GEOMAR
GEOMAR,GEOMAR Helmholtz‐Zentrum für Ozeanforschung Kiel,GEOMAR
GEOMAR,GEOMAR Helmholtz‐Zentrum für Ozeanforschung Kiel Düsternbrooker Weg 20 Kiel 24105 Germany,GEOMAR
GEOMAR,GEOMAR Helmholtz‐Zentrum für Ozeanforschung Kiel Kiel Germany,GEOMAR
GEOMAR,GEOMAR Helmholz Centre for Ocean Research Kiel,GEOMAR
GEOMAR,GEOMAR Research Center for Marine Geosciences,GEOMAR
GEOMAR,GEOMAR Research Center for Marine Geosciences Kiel Germany,GEOMAR
GEOMAR,GEOMAR | Helmholtz Centre for Ocean Research Kiel,GEOMAR
GEOMAR,GEOMAR&ndash,GEOMAR
GEOMAR,"GEOMAR-Biotech, Marine Ecology, Natural Product Chemistry","Biotech, Marine Ecology, Natural Product Chemistry"
GEOMAR,GEOMAR-Helmholtz Center for Ocean Research,GEOMAR
GEOMAR,GEOMAR-Helmholtz Center for Ocean Research Kiel; Kiel Germany,GEOMAR
GEOMAR,GEOMAR-Helmholtz Centre for Ocean Research,GEOMAR
GEOMAR,GEOMAR. Helmholtz Centre for Ocean Research Kiel,GEOMAR
GEOMAR,GEOMAR: Helmholtz Center for Ocean Research,GEOMAR
GEOMAR,GEOMAR: Helmholtz-Zentrum fur Ozeanforschung Kiel,GEOMAR
GEOMAR,GEOMAR|Helmholtz Center for Ocean Research Kiel,GEOMAR
GEOMAR,GEOMAR–Helmholtz Centre for Ocean Research Kiel,GEOMAR
GEOMAR,GEOMAR–Helmholtz-Centre for Ocean Research Kiel,GEOMAR
GEOMAR,GEOMAR—Helmholtz Center for Ocean Research,GEOMAR
GEOMAR,GEOMAR—Helmholtz Centre for Ocean Research,GEOMAR
GEOMAR,Geodynamics,Marine Geodynamics
GEOMAR,Geomar,GEOMAR
GEOMAR,Geomar Helmholtz Centre for Ocean Research Kiel,GEOMAR
GEOMAR,Geomar: Helmholtz Centre for Ocean Research,GEOMAR
GEOMAR,Geomicrobiology,Geomicrobiology
GEOMAR,Helmeholtz Center for Ocean Research Kiel (GEOMAR),GEOMAR
GEOMAR,Helmholtz Center for Ocean Research,GEOMAR
GEOMAR,Helmholtz Centre for Ocean Research,GEOMAR
GEOMAR,Helmholtz Centre for Ocean Research (GEOMAR),GEOMAR
GEOMAR,Helmholtz Centre for Ocean Research GEOMAR,GEOMAR
GEOMAR,Helmholtz Centre for Ocean Research Kiel (GEOMAR),GEOMAR
GEOMAR,Helmholtz Centre for Ocean Research Kiel (GEOMAR) Kiel Germany,GEOMAR
GEOMAR,Helmholtz Centre for Ocean Research Kiel GEOMAR Kiel Germany,GEOMAR
GEOMAR,Helmholtz Centre for Ocean Research [Kiel],GEOMAR
GEOMAR,Helmholtz Centre for Ocean ResearchKiel,GEOMAR
GEOMAR,IDCC / Helmholtz Metadata Collaboration,Metadata Collaboration
GEOMAR,IFM-GEOMAR - Leibniz-Institut für Meereswissenschaften (24148 Kiel - Allemagne),GEOMAR
GEOMAR,IFM-GEOMAR - Leibniz-Institut für Meereswissenschaften (24148 Kiel - Germany),GEOMAR
GEOMAR,IFM-GEOMAR Leibniz Institute of Marine Sciences at the University of Kiel Kiel Germany,GEOMAR
GEOMAR,IFM-GEOMAR Wischhofstrasse 1-3,GEOMAR
GEOMAR,IFM-GEOMAR; Leibniz-Institute of Marine Sciences; Wischhofstrasse 1-3,GEOMAR
GEOMAR,IFM‐GEOMAR Kiel Germany,GEOMAR
GEOMAR,IFM–GEOMAR,GEOMAR
GEOMAR,IfM-GEOMAR Leibniz Institute of Marine Sciences,GEOMAR
GEOMAR,Kiel Germany,GEOMAR
GEOMAR,Leibniz Insitut für Meereswissenschaften,GEOMAR
GEOMAR,Leibniz Institut für Meereswissenschaften,GEOMAR
GEOMAR,Leibniz Institut für Meereswissenschaften Kiel,GEOMAR
GEOMAR,Leibniz Institute for Marine Science,GEOMAR
GEOMAR,Leibniz Institute for Marine Sciences,GEOMAR
GEOMAR,Leibniz Institute für Meereswisenschaften,GEOMAR
GEOMAR,Leibniz Institute of Marine Sciences,GEOMAR
GEOMAR,Leibniz Institute of Marine Sciences (IFM-GEOMAR),GEOMAR
GEOMAR,Leibniz Institute of Marine Sciences (IFM‐GEOMAR) University of Kiel,GEOMAR
GEOMAR,Leibniz Institute of Marine Sciences at Kiel University (IFM-GEOMAR),GEOMAR
GEOMAR,Leibniz Institute of Marine Sciences at University of Kiel (IFM-GEOMAR),GEOMAR
GEOMAR,Leibniz Institute of Marine Sciences at University of Kiel (IFM-GEOMAR) Kiel Germany,GEOMAR
GEOMAR,Leibniz Institute of Marine Sciences at University of Kiel (IFM‐GEOMAR),GEOMAR
GEOMAR,Leibniz Institute of Marine Sciences at the University of Kiel,GEOMAR
GEOMAR,Leibniz Institute of Marine Sciences at the University of Kiel (IFM-GEOMAR),GEOMAR
GEOMAR,Leibniz-Institut für Meereswissenschaften IFM-GEOMAR,GEOMAR
GEOMAR,Leibniz-Institut für Meereswissenschaften IfM-GEOMAR,GEOMAR
GEOMAR,Leibniz-Institut für Meereswissenschaften an der Universität Kiel (IFM-GEOMAR); Kiel; Germany,GEOMAR
GEOMAR,Leibniz-Institute for Marine Sciences,GEOMAR
GEOMAR,Leibniz-Institute for Marine Sciences at the University of Kiel,GEOMAR
GEOMAR,Leibniz-Institute of Marine Science IFM-GEOMAR,GEOMAR
GEOMAR,Leibniz-Institute of Marine Sciences (IFM-GEOMAR),GEOMAR
GEOMAR,Leibniz-Institute of Marine Sciences at Kiel University (IFM-GEOMAR),GEOMAR
GEOMAR,Leibniz-Institute of Marine Sciences at the University of Kiel,GEOMAR
GEOMAR,Leibniz‐Institut für Meereswissenschaften IFM‐GEOMAR,GEOMAR
GEOMAR,Leibniz‐Institut für Meereswissenschaften an der Universität Kiel (IFM‐GEOMAR),GEOMAR
GEOMAR,Leibniz‐Institut für Meereswissenschaften an der Universität zu Kiel (IFM‐GEOMAR),GEOMAR
GEOMAR,Leibniz‐Institute of Marine Sciences IFM‐GEOMAR Kiel Germany,GEOMAR
GEOMAR,Marine Benthic Ecology,Marine Benthic Ecology
GEOMAR,Marine Biogeochemistry Division,Marine Biogeochemistry
GEOMAR,Marine Biogeochemistry IFM-GEOMAR,Marine Biogeochemistry
GEOMAR,Marine Biogeochemistry Research Division,Marine Biogeochemistry
GEOMAR,Marine Ecology,Department of Marine Ecology
GEOMAR,Marine Ecology Division,Marine Ecology Department
GEOMAR,Marine Ecology Division GEOMAR Helmholtz‐Zentrum für Ozeanforschung Kiel,Marine Ecology Department
GEOMAR,Marine Ecology/Benthic Ecology,Benthic Ecology
GEOMAR,Marine Geodynamics,Marine Geodynamics
GEOMAR,Marine Geologie,Marine Geology
GEOMAR,Marine Meteorology,Marine Meteorology
GEOMAR,Marine Microbiology,Marine Microbiology
GEOMAR,Marine Symbioses,Marine Symbiosis Unit
GEOMAR,Marine Symbioses Research Unit,Marine Symbiosis Unit
GEOMAR,Marine Symbiosis,Marine Symbiosis Unit
GEOMAR,Marine and Environmental Geology,Marine & Environmental Geology
GEOMAR,Meteorology,Meteorology
GEOMAR,N##TAB##TAB##TAB##TAB#4 GEOMAR,GEOMAR
GEOMAR,Ocean Circulation and Climate Dynamics,Ocean Circulation and Climate Dynamics
GEOMAR,Ocean Dynamics,Ocean Dynamics
GEOMAR,Ocean Floor Dynamics,Ocean Floor Dynamics
GEOMAR,Ocean circulation anc climate dynamics,Ocean Circulation and Climate Dynamics
GEOMAR,Paleoceanography,Paleoceanography
GEOMAR,Physical Oceanography,Physical Oceanography
GEOMAR,RBS)Leibniz-Institute of Marine Sciences (IFM-GEOMAR),GEOMAR
GEOMAR,"RD2 Marine Biogeochemistry, Biological Oceanography","Department of Marine Biogeochemistry, Chemical Oceanography"
GEOMAR,"RD2 Marine Biogeochemistry, Biological Oceanography/Chemical Oceanography)","Department of Marine Biogeochemistry, Chemical Oceanography"
GEOMAR,"RD2 Marine Biogeochemistry, Chemical Oceanography","Department of Marine Biogeochemistry, Chemical Oceanography"
GEOMAR,RD3,Department of Marine Ecology
GEOMAR,RD3 Marine Symbioses,Department of Marine Ecology
GEOMAR,RD4 Dynamics of the Ocean Floor,Department of Dynamics of the Ocean floor
GEOMAR,RD4: Dynamics of the Ocean Floor,Department of Dynamics of the Ocean floor
GEOMAR,Research Center for Marine Geosciences (GEOMAR) Helmholtz Centre for Ocean Research Kiel,Marine Geosciences
GEOMAR,Universitaet Kiel,CAU Kiel
GEOMAR,"and Kiel
University",CAU Kiel
GEOMAR,e,GEOMAR
GIGA German Institute of Global and Area Studies,Institute of Asian Studies,Institute of Asian Studies
GIGA German Institute of Global and Area Studies,Project of the Alexander von Humboldt Foundation “War Economies and Postwar Crime”,Project of the Alexander von Humboldt Foundation “War Economies and Postwar Crime”
GIGA German Institute of Global and Area Studies,"Research project: “A Dangerous Liaison? Ethnicity, Natural Resources and Civil Conflict Onset” (DFG) [research on the interaction of resource extraction, ethnic identities, and (violent) conflict dynamics]","Research project: “A Dangerous Liaison? Ethnicity, Natural Resources and Civil Conflict Onset”"
GIGA German Institute of Global and Area Studies,Research project: “Is Resource Wealth a Risk Factor?” (DFG),Research project: “Is Resource Wealth a Risk Factor?”
German Aerospace Center,Exploration Systems,Exploration Systems
German Center for Infection Research,DZIF),German Center for Infection Research
German Center for Infection Research,DZIF) Hamburg–Lübeck– Borstel–Riems Site University of Lübeck Lübeck Germany,German Center for Infection Research
German Center for Infection Research (DZIF),Research area 'Emerging Infections',Emerging Infections
German Center for Lung Research,Airway Research Center North (ARCN),Airway Research Center North
German Center for Neurodegenerative Diseases,Deutsches Zentrum fuer Neurodegenerative Erkrankungen (DZNE),Deutsches Zentrum für Neurodegenerative Erkrankungen (DZNE)
German Centre for Integrative Biodiversity Research,iDiv) Halle–Jena–Leipzig,iDiv)
German Institute for Economic Research,DIW Berlin European University Institute &amp; Kiel Institute for the World Economy Berlin Germany,DIW Berlin
German Institute for Economic Research,DIW Berlin),DIW Berlin
German Institute for Global and Area Studies,GIGA German Institute of Global and Area Studies and University of Hamburg,German Institute of Global and Area Studies
German Institute for Global and Area Studies,German Institute of Global and Area Studies (GIGA) and University of Hamburg,German Institute of Global and Area Studies
German Institute for Global and Area Studies,Institute of Asian Studies,Institute of Asian Studies
German Institute for Global and Area Studies,Institute of Latin America Studies,Institute of Latin America Studies
German Institute for Global and Area Studies,Institute of Middle East Studies,Institute of Middle East Studies
German UNESCO Commission and UNESCO Institute for Education,Organization and Coordination in Germany of the International Literacy Year on behalf of the German UNESCOCommission,Organization and Coordination in Germany of the International Literacy Year on behalf of the German UNESCO Commission
HAW Hamburg,Centre for Sustainability & Climate Change Management,Centre for Sustainable Development & Climate Change Management
HAW Hamburg,Department Soziale Arbeit,Department of Social Work
HAW Hamburg,European School of Sustainability Science and Research (ESSSR),European School of Sustainability Science and Research
HAW Hamburg,Faculty Life Sciences,Faculty of Life Sciences
HAW Hamburg,Faculty of LIfe Sciences,Faculty of Life Sciences
HAW Hamburg,Hamburg University of Applied Sciences,HAW Hamburg
HAW Hamburg,Hamburg University of Applied Sciences (HAW),HAW Hamburg
HAW Hamburg,Hamburg University of Applied Sciences (HAW) - Research and Transfer Centre Sustainability and Climate Change Management,Research and Transfer Centre Sustainability and Climate Change Management
HAW Hamburg,Hamburg University of Applied Sciences: Hochschule fur Angewandte Wissenschaften Hamburg,HAW Hamburg
HAW Hamburg,Health Sciences,Health Sciences
HAW Hamburg,Life Science,Faculty of Life Sciences
HAW Hamburg,"Medientechnik, Digital Reality",Digital Reality
HAW Hamburg,"Research and Transfer Centre ""Sustainable development and Climate Change Management""","Research and Transfer Centre ""Sustainability and Climate Change Management"""
HAW Hamburg,Research and Transfer Centre Sustainable Development and Climate Change Management,Centre for Sustainable Development & Climate Change Management
HAW Hamburg,Research and Transfer Centre „Sustainability & Climate Change Management“ (FTZ-NK),Centre for Sustainability & Climate Change Management
HSBA Hamburg School of Business Administration,Finance and Accounting,Finance and Accounting
HafenCity University Hamburg,Architecture,Architecture
HafenCity University Hamburg,City Science Lab,City Science Lab
HafenCity University Hamburg,Geodesy and Geoinformatics,Geodesy & Geoinformatics
HafenCity University Hamburg,HCU),HafenCity University Hamburg
HafenCity University Hamburg,HOOU,Hamburg Open Online University
HafenCity University Hamburg,HafenCity University Hamburg,HafenCity University Hamburg
HafenCity University Hamburg,HafenCity Universität Hamburg,HafenCity University Hamburg
HafenCity University Hamburg,HafenCity Universität Hamburg: HafenCity Universitat Hamburg,HafenCity University Hamburg
HafenCity University Hamburg,"History and Theory of the City / DFG-RTG 2725 ""Urban future-making""",History and Theory of the City
HafenCity University Hamburg,Resource Efficiency in Architecture and Planning (REAP),Resource Efficiency in Architecture and Planning
HafenCity University Hamburg,eLearning/eAssessment,eLearning/eAssessment
HafenCity Universität Hamburg,Hydrography and Geodesy,Hydrography & Geodesy
HafenCity Universität Hamburg,Infrastructural Engineering,Infrastructural Engineering
HafenCity Universität Hamburg,Urban Planning,Urban Planning
Hamburg Institute of International Economics,HWWI),HWWI
Hamburg Institute of International Economics,HWWI) Neuer Jungfernstieg 21 | 20354 Hamburg | Germany,HWWI
Hamburg Institute of International Economics,Migration Research,Migration Research
Hamburg Institute of International Economics,Programme International Climate Policy,Programme “International Climate Policy”
Hamburg Institute of International Economics,Research Programme on International Climate,Research Programme on International Climate Policy
Hamburg University of Technology,Institut für Technologie- und Innovationsmanagement,Institute for Technology and Innovation Management
Hamburg University of Technology,Institute for Technology and Innovation Manageemnt,Institute for Technology and Innovation Management
Hamburg University of Technology,Institute for Technology and Innovation Management (TIM),Institute for Technology and Innovation Management
Hamburg University of Technology,Institute for Technology and Innovation Management at,Institute for Technology and Innovation Management
Hamburg University of Technology,Prof.,Hamburg University of Technology
Hamburg University of Technology,TUHH),Hamburg University of Technology
Hamburg University of Technology,Technical University Hamburg-Harburg,Hamburg University of Technology
Hamburg University of Technology,Technical University of Hamburg-Harburg,Hamburg University of Technology
Hamburger Fern-Hochschule,Fachbereich Gesundheitswissenschaften,Health Sciences
Hans-Bredow-Institut,World Hobbit Project,World Hobbit Project
Helmholtz Centre for Ocean Research Kiel,Physical Oceanography,Physical Oceanography
Helmholtz Institute for Functional Marine Biodiversity,Alfred-Wegener Institute,Alfred Wegener Institute
Helmholtz Institute for Functional Marine Biodiversity,HIFMB),HIFMB
Helmholtz Institute for Functional Marine Biodiversity,HIFMB) at the Carl von Ossietzky University of Oldenburg,HIFMB
Helmholtz Institute for Functional Marine Biodiversity,at the University of Oldenburg (HIFMB),HIFMB
Helmholtz Zentrum München,Helmholtz Zentrum,Helmholtz Zentrum München
Helmholtz Zentrum München,Helmholtz Zentrum MÃ¼nchen,Helmholtz Zentrum München
Helmholtz Zentrum München,Helmholtzzentrum,Helmholtz Zentrum München
Helmholtz Zentrum München,"JointMass Spectrometry Centre",Joint Mass Spectrometry Centre
Helmholtz Zentrum München,Joint Mass Spectrometry Center,Joint Mass Spectrometry Centre
Helmholtz Zentrum München,Joint Mass Spectrometry Center Cooperation Group Comprehensive Molecular Analytics,Joint Mass Spectrometry Centre
Helmholtz Zentrum München,Joint Mass Spectrometry Centre,Joint Mass Spectrometry Centre
Helmholtz Zentrum München,Joint Mass Spectrometry Centre (JMSC),Joint Mass Spectrometry Centre
Helmholtz Zentrum München,"Joint Mass Spectrometry Centre – Cooperation Group ""Comprehensive Molecular Analytics""",Joint Mass Spectrometry Centre
Helmholtz-Zentrum Hereon,"Departmentfor Environmental Chemistry",Department for Environmental Chemistry
Helmholtz-Zentrum Hereon,Helmholtz-Zentrum Geesthacht (HZG),Helmholtz-Zentrum Geesthacht
Helmholtz-Zentrum Hereon GERICS - Deutsches Institut für Klimaservices,Climate Service Center Germany (GERICS),Climate Service Center Germany
Helmut-Schmidt-Universität / UdB Hamburg,Economics,Faculty of Economic and Social Sciences
Helmut-Schmidt-Universität / UdB Hamburg,Experimental Psychology Unit,Experimental Psychology Unit
Helmut-Schmidt-Universität / UdB Hamburg,Fachbereich Erziehungswissenschaften,Educational Science
Helmut-Schmidt-Universität / UdB Hamburg,Faculty of Economic and Social Sciences,Faculty of Economic and Social Sciences
Helmut-Schmidt-Universität / UdB Hamburg,Fakultät für Geistes- und Sozialwissenschaften - Geschichte der Frühen Neuzeit unter besonderer Berücksichtigung der Sozial- und Wirtschaftsgeschichte,History of the Early Modern Period
Helmut-Schmidt-Universität / UdB Hamburg,Helmut-Schmidt-Universität,Helmut-Schmidt-Universität / UdB Hamburg
Helmut-Schmidt-Universität / UdB Hamburg,Helmut-Schmidt-Universität (Hamburgo,Helmut-Schmidt-Universität / UdB Hamburg
Helmut-Schmidt-Universität / UdB Hamburg,International Relations and Regional Governance,International Relations & Regional Governance
Helmut-Schmidt-Universität / UdB Hamburg,Maschinenbau,Mechanical Engineering
Helmut-Schmidt-Universität Universität der Bundeswehr Hamburg,Humanities and Social Sciences,Humanities & Social Sciences
Helmut-Schmidt-Universität Universität der Bundeswehr Hamburg,Metrology,Metrology
Hochschule Bremen,Biological Structures and Biomimetics,Biological Structures and Biomimetics
Hochschule Bremen,International Degree Programme Industrial and Environmental Biology,Industrial & Environmental Biology
Hochschule Bremen,International Summer School,International Summer School
Hochschule Bremen,"School of Architecture, Bremer Zentrum für Baukultur",School of Architecture
Hochschule Bremen,School of International Business,School of International Business
Hochschule Bremen,School of International Business (SiB),School of International Business
"Hochschule Bremen, City University of Applied Sciences",Biomimetics - The Biological Materials Group,Biomimetics
Hochschule Fresenius online plus GmbH,Hamburg Campus,Hamburg Campus
Hochschule für Angewandte Wissenschaften Hamburg,Computer Science,Department of Computer Science
Hochschule für Angewandte Wissenschaften Hamburg,Faculty of Life Sciences,Faculty of Life Sciences
Hochschule für Angewandte Wissenschaften Hamburg Fakultät Design Medien und Information,Dep. Information,"Department for Design, Media and Information"
Hochschule für Angewandte Wissenschaften Hamburg Fakultät Life Sciences,Public Health,Public Health
Hochschule für Musik und Theater,Cultural and Media Management,Cultural & Media Management
Hochschule für öffentliche Verwaltung Bremen,Steuerrecht,Tax Law
Huazhong Agricultural University,Associate Professor,Huazhong Agricultural University
HörTech gGmbH,Research & Development,Research & Development
IPN - Leibniz Institute for Science and Mathematics Education,Educational Research and Educational Psychology,Educational Research &  Educational Psychology
Ibero-American Institute,Publications Department,Department of Publications
Ifo Institute for Economic Research,CESifo (Center for Economic Studies and Ifo Institute),CESifo
Ifremer,GEOMAR—Helmholtz Center for Ocean Research,GEOMAR
Indian Institute of Technology Madras,Center for Atmospheric and Climate Sciences,Centre for Atmospheric and Climate Sciences
Indiana University – Purdue University Indianapolis,Andrea Strayer,Indiana University – Purdue University Indianapolis
Indiana University – Purdue University Indianapolis,Anne Christin Rahn,Indiana University – Purdue University Indianapolis
Institut de Recherche pour le Développement,GEOMAR Helmholtz-Centre for Ocean Research Kiel,GEOMAR
Institut de Recherche pour le Développement,GEOMAR—Helmholtz Center for Ocean Research,GEOMAR
Institut für Meereskunde an der Universität Kiel,Physical Oceanography,Physical Oceanography
"Institute for Hygiene and Environment, FH Hamburg",Air/Radioactivity,Air/Radioactivity
Institute for Marine Research,Maritime Meteorology,Maritime Meteorology
Institute for Peace Research and Security Policy,Researcher at the,Institute for Peace Research and Security Policy
Institute for Peace Research and Security Policy,at the University of Hamburg,Institute for Peace Research and Security Policy
Institute for Prevention Research and Social Medicine (BIPS),Epidemiological Methods and Field Work,Epidemiological Methods & Field Work
"Institute of Earth Sciences, Academia Sinica",Institute of Earth Sciences,"Institute of Earth Sciences, Academia Sinica"
"Institute of Earth Sciences, Academia Sinica",Institute of Earth Sciences Academia Sinica Taipei Taiwan,"Institute of Earth Sciences, Academia Sinica"
"Institute of Energy Research and Physical Technologies, TU-Clausthal",Surface Science (Prof. Dr. Ernst Bauer),Surface Science Chair
Institute of Geosciences,Kiel University;,CAU Kiel
Institute of Law,GmbH & Co. KG Postfach 2040 D-72010 Tübingen,Institute of Law
"Institute of Materials Science, Bremen",Process Engineering,Process Engineering
Institute of Oceanology,GEOMAR Helmholtz Centre for Ocean Research Kiel Kiel Germany,GEOMAR
Institute of Soil and Water Conservation,State Key Laboratory of Soil Erosion and Dryland Farming on the Loess Plateau Northwest A&amp;F University Yangling China,State Key Laboratory of Soil Erosion and Dryland Farming on the Loess Plateau
Institute of Tibetan Plateau Research,Key Laboratory of Tibetan Environment Changes and Land Surface Processes (TEL),Key Laboratory of Tibetan Environment Changes and Land Surface Processes
Instituto Español de Oceanografía,Helmholtz Centre for Ocean Research Kiel (GEOMAR),GEOMAR
International School of Management,Psychology & Management,Psychology & Management
International School of Management Campus Hamburg,HR,Human Relations
Jacobs University Bremen,Bremen International Graduate School of Social Sciences (BIGSSS),Bremen International Graduate School of Social Sciences
Justus-Liebig-Universität Gießen,Justus Liebig University Gießen,Justus-Liebig-Universität Gießen
Justus-Liebig-Universität Gießen,Justus Liebig Universität Giessen,Justus-Liebig-Universität Gießen
Justus-Liebig-Universität Gießen,Justus-Liebig-University Giessen,Justus-Liebig-Universität Gießen
Kathmandu University,Assistant Professor,Kathmandu University
Kiel Institut für Weltwirtschaft,Christian Albrecht University,CAU Kiel
Kiel Institut für Weltwirtschaft,Christian Albrecht University Kiel/Institute for the World Economy,Kiel Institut für Weltwirtschaft
Kiel Institut für Weltwirtschaft,Christian-Albrecht University of Kiel/Institute for the World Economy,Kiel Institut für Weltwirtschaft
Kiel Institut für Weltwirtschaft,Christian-Albrechts University,CAU Kiel
Kiel Institut für Weltwirtschaft,IFW,Kiel Institut für Weltwirtschaft
Kiel Institut für Weltwirtschaft,IfW),Kiel Institut für Weltwirtschaft
Kiel Institut für Weltwirtschaft,IfW) Hindenburgufer 66,Kiel Institut für Weltwirtschaft
Kiel Institut für Weltwirtschaft,Innovation and International Competition,Innovation and International Competition
Kiel Institut für Weltwirtschaft,Institute for World Economy Kiel,Kiel Institut für Weltwirtschaft
Kiel Institut für Weltwirtschaft,Kiel,Kiel Institut für Weltwirtschaft
Kiel Institut für Weltwirtschaft,Kiel Institute of World Economics,Kiel Institut für Weltwirtschaft
Kiel Institut für Weltwirtschaft,Professor,Kiel Institut für Weltwirtschaft
Kiel Institut für Weltwirtschaft,The Environment and Natural Resources,The Environment and Natural Resources
Kiel Institut für Weltwirtschaft,The Kiel Institute of World Economics,Kiel Institut für Weltwirtschaft
Kiel Institut für Weltwirtschaft,University of Kiel (CAU),CAU Kiel
Kiel Institut für Weltwirtschaft,VRCenter DEGIT,VRCenter DEGIT
Kiel Institut für Weltwirtschaft,and University of Kiel,CAU Kiel
King Abdullah University of Science and Technology,KAUST),KAUST
King Fahd University of Petroleum and Minerals,King Fadh University of Petroleum &amp; Minerals KFUPM Box 2263 Dhahran 31261 Saudi Arabia,King Fahd University of Petroleum and Minerals
Korea Institute of Geoscience and Mineral Resources,KIGAM(),KIGAM
Korea Institute of Geoscience and Mineral Resources,KIGAM),KIGAM
Krankenhaus Nordwest,Agong Lupat and Johannes Hengelbrock are joint first authors.,Krankenhaus Nordwest
Krankenhaus Salem,Laboratory of Alcohol Research (HKS),Laboratory of Alcohol Research
Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques,CNRS/IRD/MNHN,Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques
Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques,GEOMAR Helmholtz-Centre for Ocean Research Kiel,GEOMAR
Laboratoire d’Océanographie de Villefranche,GEOMAR - Helmholtz Centre for Ocean Research [Kiel] (Wischhofstr. 1-3,GEOMAR
Landscape Research Group,Peter Borchardt,Landscape Research Group
Leibniz Centre for Tropical Marine Research,Department of Social Sciences,Institute of Social Sciences
Leibniz Centre for Tropical Marine Research,Development and Knowledge Sociology,Development and Knowledge Sociology
Leibniz Centre for Tropical Marine Research,Faculty Biology and Chemistry,Faculty of Biology and Chemistry
Leibniz Centre for Tropical Marine Research,Faculty of Geoscience,Faculty of Geosciences
Leibniz Centre for Tropical Marine Research,Institute for Geology University of Hamburg,Institute for Geology
Leibniz Centre for Tropical Marine Research,Leibniz Center for Tropical Marine Ecology (ZMT),Leibniz Center for Tropical Marine Ecology
Leibniz Centre for Tropical Marine Research,Leibniz Center for Tropical Marine Ecology (ZMT) GmbH,Leibniz Center for Tropical Marine Ecology
Leibniz Centre for Tropical Marine Research,Science Management,Science Management
Leibniz Centre for Tropical Marine Research,Social Science,Institute of Social Sciences
Leibniz Centre for Tropical Marine Research,Social Sciences,Institute of Social Sciences
Leibniz Centre for Tropical Marine Research,Theoretical Ecology and Modelling,Theoretical Ecology and Modelling
Leibniz Centre for Tropical Marine Research,ZMT,ZMT
Leibniz Centre for Tropical Marine Research,ZMT),ZMT
Leibniz Centre for Tropical Marine Research,ZMT) GmbH,ZMT
Leibniz Centre for Tropical Marine Research,ZMT-,ZMT
Leibniz Institute for Baltic Sea Research,Warnemünde Rostock Germany,Warnemünde
Leibniz Institute for Neurobiology,Leibniz Institut für Meereswissenschaften IFM-GEOMAR,GEOMAR
Leibniz Institute for Prevention Research and Epidemiology - BIPS,Biometry and Data Management,Department of Biometry and Data Management
Leibniz Institute for Prevention Research and Epidemiology - BIPS,Department of Biometry and Data Management,Department of Biometry and Data Management
Leibniz Institute for Prevention Research and Epidemiology - BIPS,Epi Methods and Etiological Research,Epidemiological Methods & Etiological Research
Leibniz Institute for Prevention Research and Epidemiology - BIPS,Institut für Public Health und Pflegeforschung – IPP,Institute for Public Health and Nursing Research (IPP)
