"organization_name","department_name","faculties"
"Christian Medical College","Department of Nephrology","med"
"Christian-Albrechts-Universität zu Kiel","Christian Albrechts Universität zu Kiel Sektion Chemie","mint"
"Christian-Albrechts-Universität zu Kiel","Christian-Albrechts-Universität zu Kiel Institut für Geowissenschaften","mint"
"Christian-Albrechts-Universität zu Kiel","Christian-Albrechts-Universität zu Kiel Philosophische Fakultät","phil"
"Christian-Albrechts-Universität zu Kiel","Economics","sowi"
"Christian-Albrechts-Universität zu Kiel","Institute of Pre and Protohistorical Archaeology","phil"
"Christian-Albrechts-Universität zu Kiel","Kiel Marine Science","mint"
"Christian-Albrechts-Universität zu Kiel","Otto-Diels-Institut für Organische Chemie","mint"
"Chulalongkorn University","Institute of Asian Studies","sowi"
"City University of Hong Kong","Department of Biology and Chemistry","mint"
"City University of Hong Kong","State Key Laboratory of Marine Pollution","mint"
"Coastal Impact","B 3 - Marine and Coastal Systems","mint"
"Coastal Impact","Centre
for Materials and Coastal Research","mint"
"Code to Communicate","Science Communication","sowi"
"Colombian Geological Survey","Geological Map of Colombia","mint"
"Colorado State University","Department of Atmospheric Science","mint"
"Colorado State University","Mathematics","mint"
"Columbia University","Mailman School of Public Health","med"
"Commonwealth Scientific and Industrial Research Organisation","Global Carbon Project –Oceans and Atmosphere","mint"
"Concord University","Department of Physical and Environmental Sciences","mint"
"Constructor University","Bremen International Graduate School of Social Sciences","sowi"
"Constructor University","Chemistry","mint"
"Constructor University","Chinese Economy and Society","sowi"
"Constructor University","Computer Science and Electrical Engineering","tech"
"Constructor University","Department of Industrial Engineering","tech"
"Constructor University","Department of Social Sciences & Humanities","sowi"
"Constructor University","Department of Social Sciences and Humanities","sowi"
"Constructor University","Emerging Technologies in Industrial Engineering (EITIE) research Lab, School of Business, Social & Decision Sciences","tech"
"Constructor University","International Business Administration","sowi"
"Constructor University","KAEFER Professor of Renewable Energy and Environmental Politics","sowi"
"Constructor University","Mathematics Jacobs University","mint"
"Constructor University","Methods and Psychology","sowi"
"Constructor University","Professor of Business Administration and head of the research group “Organizational Learning and Innovation” at the Jacobs Center for Lifelong Learning and Institutional Development","sowi"
"Constructor University","Professor of business administration and information management","sowi"
"Constructor University","School of Engineering and Sciences","tech"
"Constructor University","Social Sciences & Humanities","sowi"
"Constructor University Bremen (formerly Jacobs University Bremen)","Computer Science and Electrical Engineering","tech"
"Copenhagen Business School","International Economics, Government, and Business","sowi"
"Cornell University","Earth and Atmospheric Sciences","mint"
"Curriculum Evaluation Commission at Area Orientation Center","Politics and development","sowi"
"DIAKO","Department of Hematology and Oncology","med"
"DIAKO","Krankenhaus GmbH Flensburg","med"
"DTU","Bioengineering - Biotechnology and Biomedicine","med"
"Dalhousie University","Department of Physics and Atmospheric Science","mint"
"Dalhousie University","Oceanography","mint"
"Damascus University","Department of Economics","sowi"
"Damascus University","Economics","sowi"
"Danmarks Tekniske Universitet","Fisheries","agrar"
"Deakin University - Geelong Waterfront Campus","School of Life and Environmental Sciences","mint"
"Department of Animal Health","Department of Epidemiology","med"
"Department of Marine and Coastal Resources","Marine and Coastal Resources Research Center","mint"
"Deutscher Wetterdienst","Klima und Umwelt/ Hans-Ertel-Zentrum für Wetterforschung","mint"
"Deutsches Archäologisches Institut","Commission for Archaeology of Non-European Cultures (KAAK) Bonn","phil"
"Deutsches Archäologisches Institut","Deutsches Archäologisches Institut, Zentrale","phil"
"Deutsches Elektronen-Synchrotron","Astroparticle Physics division","mint"
"Deutsches Elektronen-Synchrotron","DESY Photon Science","mint"
"Deutsches Elektronen-Synchrotron","P02.2, FS-PETRA-D, Photon Sciences","mint"
"Deutsches Geoforschungszentrum Potsdam","Climate Dynamics and Landscape Evolution","mint"
"Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR)","German Aerospace Center (DLR)","tech"
"Diamond Harbour Women's University","Department of Political Science","sowi"
"Dilla University","Physics","mint"
"District General Hospital Matara","Oral and Maxillofacial Surgery Unit","med"
"Dresden University of Technology","Forestry","agrar"
"Duke University","Centre for Demographic Studies and Dept. of Sociology","sowi"
"Duke University","John Franklin Crowell Professor of Sociology and Director of the Center for Demographic Studies","sowi"
"Duke University","Sanford Institute for Public Policy","sowi"
"Duke University","School of Law","jura"
"EPFL - École Polytechnique Fédérale de Lausanne","School of Architecture, Civil and Environmental Engineering, Environmental Engineering Institute, Laboratory for Biological Geochemistry","tech"
"ETH Zürich","Chemistry and Applied Biosciences","mint"
"ETH Zürich","History of the Global World","phil"
"ETH-Bereich Hochschulen","Physik","mint"
"Eawag","Urban Water Management & Process Engineering","tech"
"Eberhard Karls Universität Tübingen","Center for Applied Geosciences, Geomicrobiology","mint"
"Eberhard Karls Universität Tübingen","Department of History","phil"
"Eberhard Karls Universität Tübingen","Geology","mint"
"Eberhard Karls Universität Tübingen","Institut für Mineralogie, Petrologie und Geochemie","mint"
"Eberhard Karls Universität Tübingen","Institut für Ur- und Frühgeschichte und Archäologie des Mittelalters","phil"
"Eberhard Karls Universität Tübingen","Institute for Prehistory and Early History and Archeology of the Middle Ages","phil"
"Eberhard Karls Universität Tübingen","Klinik und Poliklinik für Mund-Kiefer-Gesichtschirurgie","med"
"Eberhard Karls Universität Tübingen","Seminar für Sprachwissenschaft","phil"
"Ecole Normale Supérieure Département des Géosciences","Laboratoire de Meteorologie Dynamique","mint"
"Edward Francis Small Teaching Hospital","Internal Medicine","med"
"Eidgenössische Technische Hochschule Zürich","Department of Humanities, Social and Political Sciences","sowi"
"Emory University","Mathematics & Computer Science","mint"
"Eppendorf (Germany)","Zentrum für Innere Medizin","med"
"Ernst-Moritz-Arndt Universität Greifswald","Landscape Ecology/ Philosophy","mint"
"Estonian Biocentre","Department of Evolutional Biology","mint"
"Europa Universität Flensburg","Institut für Sprache, Literatur und Medien","phil"
"Europa-Universität Flensburg","Energy and Resource Economics","sowi"
"European Molecular Biology Laboratory, Barcelona","Cell Biology and Biophysics","mint"
"European Parliament","environmental and healthcare politics","sowi"
"European University Viadrina","Sociology","sowi"
"European XFEL GmbH","FEL physics","mint"
"Ev. Diakonie-Krankenhaus Bremen","Department of Hematology and Oncology","med"
"EvKB","Department of Pediatrics","med"
"Evangelische Hochschule Freiburg","Sozialwissenschaftliche GeschlechterForschung im FIVE e.V. Freiburg","sowi"
"Evangelisches Krankenhaus Alsterdorf","Zentrum Kinderschmerztherapie u. Palliativmedizin","med"
"FH Hagen University of Applied Sciences","Civil Engineering","tech"
"Fachhochschule Kiel","Department of Agricultural Economics","agrar"
"Fachhochschule Luebeck (University of Applied Sciences Luebeck)","Technical Environment and Climate Protection","mint"
"Fachhochschule für öffentliche Verwaltung, Polizei und Rechtspflege des Landes Mecklenburg","Fachbereich Polizei - Fachgruppe Sozialwissenschaften/Kommunikation","sowi"
"Fachkliniken Wangen Abteilung für Pneumologie","Thoracic Surgery Department","med"
"Fahrenheit (Germany)","Social Science Department","sowi"
"Federal Maritime and Hydrographic Agency of Germany","Marine Sciences","mint"
"Federal University of Applied Administrative Sciences","First professional and further trainings of public service employees in social psychology and organizational studies. Research on the same topics.","sowi"
"Flame University","Economics","sowi"
"Flensburg University of Applied Sciences","Department of Wind Engineering","tech"
"ForFarmers NV","Nutrition & Innovation Centre","agrar"
"Forschungszentrum Jülich","Institut für Energie- und Klimaforschung (IEK-8)","mint"
"Forschungszentrum Jülich","Institute for Petroleum and Organic Geochemistry","mint"
"Forschungszentrum Jülich","Plant Sciences (IBG-2)","mint"
"Foshan University","Guangdong Provincial Key Laboratory of Animal Molecular Design and Precise Breeding School of Life Science and Engineering","tech"
"Fraunhofer Institute for Manufacturing Technology and Advanced Materials","Fraunhofer‐Institut fur Fertigungstechnik und Angewandte Materialforschung Institutsteil fur Pulvermetallurgie und Verbundwerkstoffe Dresden Germany","tech"
"Fraunhofer Research Institution for Additive Manufacturing Technologies IAPT","Department of Ecology and Evolutionary Biology University of Colorado Boulder","mint"
"Freie Universität Berlin","Faculty of Veterinary Medicine","med"
"Freie Universität Berlin","Health Psychology","sowi"
"Freie Universität Berlin","History Department","phil"
"Freie Universität Berlin","Institut für Virologie","med"
"Freie Universität Berlin","Institute for Chinese Studies","phil"
"Freie Universität Berlin","Institute of Biochemistry and Molecular Biologie","mint"
"Freie Universität Berlin","Institute of Chinese Studies","phil"
"Freie Universität Berlin","Institute of Social and Cultural Anthropology","sowi"
"Freie Universität Berlin","Institute of Sociology","sowi"
"Freie Universität Berlin","Otto Suhr Institute of Political Science","sowi"
"Freie Universität Berlin","Physikalische und Theoretische Chemie","mint"
"Freie Universität Berlin","Quantitative Methods in Psychology","sowi"
"Friedrich Schiller University Jena","Jena Center for Reconciliation Studies","sowi"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Department of Sensory Ecology","mint"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Faculty of Business, Economics, and Law - Chair of Information Systems, Innovation and Value Creation (WI1)","jura"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Paleobiology and Paleoenvironments","mint"
"Friedrich-Loeffler Institut","Friedrich-Loeffler-Institut Bundesforschungsinstitut für Tiergesundheit Institut für bakterielle Infektionen und Zoonosen","med"
"Friedrich-Loeffler-Institut","Collection of Cell Lines in Veterinary Medicine","med"
"Friedrich-Loeffler-Institut","Department of Anesthesiology and Intensive Care Medicine","med"
"Friedrich-Loeffler-Institut","Epidemiology","med"
"Friedrich-Loeffler-Institut","Federal Research Institute for Animal Health; Greifswald Insel Riems Germany","agrar"
"Friedrich-Loeffler-Institut","Insitute of Epidemiological Diagnostics","med"
"Friedrich-Loeffler-Institut","Institut für Immunologie","med"
"Friedrich-Loeffler-Institut","Institute for Animal Welfare and Animal Husbandry","agrar"
"Friedrich-Loeffler-Institut","Institute for Immunology","med"
"Friedrich-Loeffler-Institut","Institute of Epidemiology","med"
"Friedrich-Schiller-Universität Jena","Research Group Theoretical Systems Biology","mint"
"Friedrich-Schiller-Universität Jena","Soziologie","sowi"
"Fulda University of Applied Sciences","Department of Nursing and Health Sciences","med"
"Future University in Egypt","Petroleum Engineering","tech"
"Future University in Egypt","Petroleum Engineering Department","tech"
"GESIS - Leibniz-Institut für Sozialwissenschaften eV Köln","Computational Social Science","sowi"
"GFZ German Research Centre for Geosciences","Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences","mint"
"GFZ German Research Centre for Geosciences","Interface Geochemistry","mint"
"GFZ German Research Centre for Geosciences","Section Hydrology","mint"
"GFZ Helmholtz Centre for Geosciences","Lithosphere Dynamics GFZ German Research Centre for Geosciences","mint"
"GFZ Helmholtz Centre for Geosciences","Section Hydrology","mint"
"GFZ Helmholtz Centre for Geosciences","Section Hydrology GFZ German Research Centre for Geosciences","mint"
"GIZ","Forest and Climate Change Program","mint"
"GNS Science Ltd","Crustal Geophysics","mint"
"GNS Science Ltd","Marine Geoscience","mint"
"GSF-Forschungszentrum für Umwelt und Gesundheit","Institut für Ökologische Chemie","mint"
"Gaza University","Faculty of Communication and Languages","sowi"
"Geological Survey of Ethiopia","Hydrogeology","mint"
"Georg-August-Universität Göttingen","Biochemie 2","mint"
"Georg-August-Universität Göttingen","Department for Agricultural Economics and Rural Development","agrar"
"Georg-August-Universität Göttingen","Economics","sowi"
"Georg-August-Universität Göttingen","Genomic and applied microbiology","mint"
"Georg-August-Universität Göttingen","Geochemisches Institut","mint"
"Georg-August-Universität Göttingen","Human Geography","sowi"
"Georg-August-Universität Göttingen","IV. Physikalisches Institut","mint"
"Georg-August-Universität Göttingen","Institut und Museum für Geologie und Paläontologie","mint"
"Georg-August-Universität Göttingen","Johann-Friedrich-Blumenbach Institut für Zoologie und Anthropologie","mint"
"German Cancer Research Center","Biological Security and Research Security","mint"
"German Centre for Integrative Biodiversity Research","Biodiversity Economics","mint"
"German Climate Computing Centre","Deutsches Klimarechenzentrum (DKRZ)","mint"
"German Climate Computing Centre","Helmholtz-Zentrum Geesthacht Zentrum für Materialforschung und Küstenforschung Climate Service Center Germany","mint"
"German Institute for Economic Research","German Socio-Economic Panel Study (SOEP)","sowi"
"German Institute for Global and Area Studies (GIGA)","Department of Politics and International Relations","sowi"
"German Institute for Global and Area Studies (GIGA)","GIGA German Institute of Global and Area Studies / Leibniz-Institut für Globale und Regionale Studien","sowi"
"German Institute for Global and Area Studies (GIGA)","German Institute of Global and Area studies","sowi"
"German Research Centre for Artificial Intelligence","Marine Perception Research Department","mint"
"German Rheumatism Research Center","Epidemiology","med"
"Ghulam Ishaq Khan Institute of Engineering Sciences and Technology","Department of Civil Engineering","tech"
"GlaxoSmithKline (Germany)","Berlin Centre of Travel & Tropical Medicine","med"
"Goddard Space Flight Center","Atmospheric Chemistry and Dynamics Laboratory","mint"
"Goddard Space Flight Center","Laboratory for Extraterrestrial Physics","mint"
"Goethe-Universität Frankfurt am Main","Department of Political Science","sowi"
"Goethe-Universität Frankfurt am Main","Institute for Empirical linguistics, Department 09, Goethe University Frankfurt, Germany","phil"
"Goethe-Universität Frankfurt am Main","Institute for Empirical linguistics, Goethe University Frankfurt, Germany","phil"
"Goethe-Universität Frankfurt am Main","Institute for Geoscience","mint"
"Goethe-Universität Frankfurt am Main","Institute for Linguistics, Goethe University Frankfurt","phil"
"Goethe-Universität Frankfurt am Main","Institute for Political Science","sowi"
"Goethe-Universität Frankfurt am Main","Institute of Empirical linguistics, Goethe University Frankfurt, Germany","phil"
"Government of Nepal","Department of Hydrology and Meteorology","mint"
"Gran Sasso Science Institute","Social Sciences","sowi"
"Gray Cancer Institute","Experimental Oncology","med"
"Guizhou University","School of Civil Engineering","tech"
"Göttingen Academy of Sciences and Humanities","Union Catalogue of Oriental Manuscripts","phil"
"Hai Phong University","Hai phong University Of Medicine and Pharmacy","med"
"Hamburg Institut (Germany)","Leibniz-Institut zur Analyse des Biodiversitätswandels - Standort Hamburg; Martin-Luther-King-Platz 3; 20146 Hamburg; Germany. skejo.josip@gmail.com","mint"
"Hamburg Institute of International Economics","Head of Research Program “International Climate Policy”","mint"
"Hamburg School of Business Administration","Chongqing Technology and Business University","sowi"
"Hamburg University of Technology","Institute of Technical Biocatalysis","mint"
"Hamburg University of Technology","Institute for Materials Physics and Technology","mint"
"Hamburg University of Technology","Institute for Materials and X-Ray Physics","mint"
"Hannover Medical School","Institute for Diagnostic and Interventional Radiology","med"
"Hannover Medical School","Radiologie","med"
"Hanover University of Music Drama and Media","Institute of Music Physiology and Musicians' Medicine","med"
"Hanover University of Music Drama and Media","Musicologyu","phil"
"Hanse-Wissenschaftskolleg","Alfred Wegener Institute for Polar and Marine Research","mint"
"Harvard Medical School","Cardiology","med"
"Harvard Medical School","HIV Immunology, Partners AIDS Research Center","med"
"Harvard University","Department of Physics","mint"
"Harvard-Smithsonian Center for Astrophysics","Astrophysics","mint"
"Hazara University","Zoology","mint"
"Hebei Medical University","Fourth Hospital of Hebei Medical University","med"
"Heidelberg University","Department of Infectious Diseases","med"
"Heidelberg University","Institute of History and Ethics of Medicine","med"
"Heidelberg University","Sociology","sowi"
"Heinrich-Heine-Universität Düsseldorf","Art history","phil"
"Heinrich-Heine-Universität Düsseldorf","Institut für Medizinische Soziologie","med"
"Heinrich-Heine-Universität Düsseldorf","Klinik für Frauenheilkunde und Geburtshilfe","med"
"Heinrich-Heine-Universität Düsseldorf","Philosophische Fakultät / Institut für Kunstgeschichte","phil"
"Heinrich-Heine-Universität Düsseldorf","Physical Chemistry","mint"
"Heinrich-Heine-Universität Düsseldorf","Sinnesökologie","mint"
"Helios Kliniken Schwerin","Gastroenterology and Infectiology","med"
"Helmholtz Centre for Environmental Research","Department for Environmental and Planning Law","jura"
"Helmholtz Centre for Environmental Research","Department of Conservation Biology UFZ –","mint"
"Helmholtz Institute for Functional Marine Biodiversity at the University of Oldenburg (HIFMB) and Alfred Wegener Institute, Helmholtz-Centre for Polar and Marine Research (AWI)","Focus Group Marine Molecular Ecology","mint"
"Helmholtz Institute for Functional Marine Biodiversity at the University of Oldenburg (HIFMB) and Alfred Wegener Institute, Helmholtz-Centre for Polar and Marine Research (AWI)","Plankton Ecology","mint"
"Helmholtz Zentrum München Deutsches Forschungszentrum für Umwelt und Gesundheit","Institute of Coastal Research","mint"
"Helmholtz Zentrum München Deutsches Forschungszentrum für Umwelt und Gesundheit","Institute of Environmental Medicine","med"
"Helmholtz Zentrum München Deutsches Forschungszentrum für Umwelt und Gesundheit","Joint Mass Spectrometry Centre - Cooperation Group ""Comprehensive Molecular Analytics""","mint"
"Helmholtz-Zentrum Hereon","Chemistry Transport Modelling","mint"
"Helmholtz-Zentrum Hereon","Climate Service Center Germany (GERICS)","mint"
"Helmholtz-Zentrum Hereon","Earth System Modelling","mint"
"Helmholtz-Zentrum Hereon","Environmental Chemistry","mint"
"Helmholtz-Zentrum für Umweltforschung","Comprehensive Molecular Analytics","mint"
"Helmut-Schmidt-Universität / UdB Hamburg","Chair of Political Science, particularly Political Theory","sowi"
"Helmut-Schmidt-Universität / UdB Hamburg","Department of Humanities and Social Sciences","sowi"
"Helmut-Schmidt-Universität / UdB Hamburg","Department of Mechanical Engineering","tech"
"Helmut-Schmidt-Universität / UdB Hamburg","Department of Sociology","sowi"
"Helmut-Schmidt-Universität / UdB Hamburg","Economics & Social Sciences","sowi"
"Helmut-Schmidt-Universität / UdB Hamburg","Economics and Social Sciences","sowi"
"Helmut-Schmidt-Universität / UdB Hamburg","Faculty of Humanities and Social Sciences","sowi"
"Helmut-Schmidt-Universität / UdB Hamburg","Faculty of Mechanical and Civil Engineering","tech"
"Helmut-Schmidt-Universität / UdB Hamburg","History","phil"
"Helmut-Schmidt-Universität / UdB Hamburg","Organizational Psychology Department","sowi"
"Helmut-Schmidt-Universität / UdB Hamburg","Professor for Political Science (International Political Economy)","sowi"
"Helmut-Schmidt-Universität / UdB Hamburg","Professur für Politikwissenschaft","sowi"
"Hochschule Bremen, City University of Applied Sciences","Biological Structures and Biomimetics","mint"
"Hochschule Bremen, City University of Applied Sciences","Department of Civil Engineering","tech"
"Hochschule Bremen, City University of Applied Sciences","Faculty of Social Sciences","sowi"
"Hochschule Bremen, City University of Applied Sciences","Fakultät für Wirtschaftswissenschaften","sowi"
"Hochschule Bremen, City University of Applied Sciences","Institute for Hydraulic and Coastal Engineering","tech"
"Hochschule Bremen, City University of Applied Sciences","School of International Business (SiB)","sowi"
"Hochschule Ruhr West - Campus Bottrop","Environmental and Process Engineering","tech"
"Hochschule für Angewandte Wissenschaften Hamburg","Public Health","med"
"Hochschule für Angewandte Wissenschaften Kiel","Department of Internal Medicine III","med"
"Hochschule für Angewandte Wissenschaften Kiel","Institute for Marine Research at the University of Kiel","mint"
"Hochschule für bildende Künste","Theorie und Geschichte","phil"
"Homann-Stiftung","Department of Neurology and Stroke Centre","med"
"Huadong Hospital","Nephrology","med"
"Huazhong Agricultural University","National Key Laboratory of Crop Genetic Improvement and National Center of Crop Molecular Breeding","mint"
"Hue University","Economics and Development Studies","sowi"
"Hue University","Faculty of Public Health, Hue University of Medicine and Pharmacy","med"
"Hue University","Institute for Community Health Research, Hue University of Medicine and Pharmacy","med"
"Hue University","Internal Medicine","med"
"Humboldt-Universität zu Berlin","Econometrics","sowi"
"Humboldt-Universität zu Berlin","Faculty of Life Science, Institute for Biology, Institute for Theoretical Biology","mint"
"Humboldt-Universität zu Berlin","Institut für Sozialwissenschaften","sowi"
"Humboldt-Universität zu Berlin","Institute for Asian and African Studies","sowi"
"Humboldt-Universität zu Berlin","Institute for Theoretical Biology","mint"
"IHS Global Insight","Economics and Country Risk Department","sowi"
"IPB University","Faculty of Fisheries and Marine Sciences","agrar"
"IPN – Leibniz Institute for Science and Mathematics Education","Educational Research and Educational Psychology","sowi"
"IPN – Leibniz Institute for Science and Mathematics Education","Physics Education","mint"
"IQVIA","Public Health","med"
"Ifremer","Geosciences Marines","mint"
"Illinois State University","Economics","sowi"
"Independent University","Pharmacy","med"
"Indian Institute of Science Education and Research, Bhopal","Department of Earth and Environmental Sciences","mint"
"Indian Institute of Science Education and Research, Bhopal","Department of Earth and Environmental Sciences Indian Institute of Science Education and Research","mint"
"Indian Institute of Technology Bombay","Centre for Climate Studies","mint"
"Indian Institute of Technology Kanpur","Department of physics","mint"
"Indian Institute of Technology Madras","Department of Civil Engineering","tech"
"Indiana University Bloomington","Biology","mint"
"Indiana University Bloomington","Earth and Atmospheric Sciences","mint"
"Indiana University Bloomington","Geological Sciences","mint"
"Indonesian Institute of Sciences","Paleoclimate & Paleoenvironment Research Group","mint"
"Inria Centre de recherche Bordeaux Sud-Ouest","Statistics in System Medicine and Translational Biology (SISTM)","med"
"Inselspital Bern University Hospital","Clinic for Paediatric Surgery, Dept. of Paediatric Orthopaedics and Traumatology","med"
"Institut Curie","UMR144 Cell Biology and Cancer","mint"
"Institut für Hygiene und Umwelt","Klinische Mikrobiologie","mint"
"Institut für Palliative Care","Clinic for Acupuncture","med"
"Institut für Werktofftechnik","Chemical & Process Engineering","tech"
"Institute for Biodiversity","Centre for Biodiversity Monitoring and Conservation Science (zbm)","mint"
"Institute for Community Health","Institute for Community Medicine","med"
"Institute for Peace Research and Security Policy","Institute of Peace Research and Security Policy","sowi"
"Institute for Prevention Research and Social Medicine (BIPS)","Bremen Institute for Prevention Research and Social Medicine (BIPS)","med"
"Institute of Clinical Molecular Biology.  Christian-Albrechts-University of Kiel","Genetics & Bioinformatics","mint"
"Institute of Ecology, Economics and Law","Faculty of Ecology","mint"
"Institute of Marine Biotechnology","Dianbai Marine Biotechnology Aquaculture Co","agrar"
"Institute of Marine Biotechnology","Institute Marine Biotechnology","mint"
"Institute of Marine Biotechnology","Marine Bio Co. Ltd","mint"
"Institute of Marine Biotechnology","School of Ocean Engineering","tech"
"Institute of Marine Research, Bergen","Maritime Meteorology","mint"
"Institute of Political Education for Adult","Political Education","sowi"
"Institute of Political Science","Political Economy and Development","sowi"
"Institute of Post Graduate Medical Education And Research","Pharmacology","med"
"Institute of Social and Economic Research","China's Economic Development at the GIGA Institute of","sowi"
"Instituto Geofísico del Perú","Atmosphere and Hydrosphere","mint"
"Instituto de Ecologia","Functional Ecology Network","mint"
"International Centre for Climate Change and Development","Initiative for Climate Change and Health","mint"
"International Christian University","Division of Social Sciences","sowi"
"International Institute for Population Sciences","Department of Public Health and Mortality","med"
"International Institute for Population Sciences","Public Health and Mortality Studies","med"
"International Islamic University Chittagong","Pharmacy","med"
"International University","School of Business","sowi"
"Islamic Azad University Science and Research Branch","Department of Biology","mint"
"Israelitisches Krankenhaus","Department of Medicine Israelitic Hospital","med"
"Israelitisches Krankenhaus","Department of Surgery","med"
"Istanbul Commerce University","Faculty of Business","sowi"
"Istanbul Commerce University","Faculty of Business & Graduate School of Foreign Trade","sowi"
"Itabashi Chuo Medical Center","Urology","med"
"Iuliu Hațieganu University of Medicine and Pharmacy","Department of Vascular, Cardiovascular, and Thoracic Surgery","med"
"Iuliu Hațieganu University of Medicine and Pharmacy","Thoracic Surgery","med"
"Jacobs University Bremen","Social Sciences & Humanities","sowi"
"Jagiellonian University","Faculty of International and Political Studies","sowi"
"James Cook University","College of Business, Law and Governance","jura"
"Japan Agency for Marine-Earth Science and Technology","Frontier Research Center for Global Change Japan Agency for Marine‐Earth Science and Technology","mint"
"Japan Agency for Marine-Earth Science and Technology","Kochi Institute for Core Sample Research (X‐star) Japan Agency for Marine‐Earth Science and Technology (JAMSTEC)","mint"
"Japan Agency for Marine-Earth Science and Technology","Kochi Institute for Core Sample Research Japan Agency for Marine‐Earth Sciences and Technology (JAMSTEC)","mint"
"Japan Agency for Marine-Earth Science and Technology","Mantle Drilling Promotion Office Institute for Marine‐Earth Exploration and Engineering (MarE3) JAMSTEC","tech"
"Japan Agency for Marine-Earth Science and Technology","Research and Development Center for Submarine Resources","mint"
"Jawaharlal Nehru University","School of Environmental Sciences","mint"
"Jena University Hospital","Department of Neurology","med"
"Jiangsu Institute of Meteorological Sciences","Key Laboratory of Transportation Meteorology of CMA/Jiangsu Key Laboratory of Severe Storm Disaster Risk","mint"
"Johann Heinrich von Thünen-Institut","Biodiversity","mint"
"Johann Heinrich von Thünen-Institut","Institute of Farm Economics, Institute of Agricultural Technology","agrar"
"Johannes Gutenberg Universität Mainz","Arbeitsbereich Alte Geschichte","phil"
"Johannes Gutenberg Universität Mainz","Dept of Literature and Linguistics","phil"
"Johannes Gutenberg Universität Mainz","Geology Department","mint"
"Johannes Gutenberg Universität Mainz","Institut für Spezielle Botanik","mint"
"Johannes Gutenberg Universität Mainz","Institute of Geosciences","mint"
"Johannes Gutenberg Universität Mainz","Institute of Molecular Genetics","mint"
"Johannes Gutenberg Universität Mainz","Institute of Zoology","mint"
"Johannes Gutenberg Universität Universitätsmedizin","Chair of Statistics and Econometrics","sowi"
"John Innes Centre","Computational and Systems Biology","mint"
"Julius-Maximilians-Universität Würzburg","Center for Infectious Disease","med"
"Julius-Maximilians-Universität Würzburg","Deparment for Medieval German Literature","phil"
"Julius-Maximilians-Universität Würzburg","Molekulare Infektionsbiologie","med"
"Julius-Maximilians-Universität Würzburg","Research Center for Infectious Diseases","med"
"Justus-Liebig-Universität Gießen","Department of Political Science","sowi"
"Justus-Liebig-Universität Gießen","Institut für Hygiene und Infektionskrankheiten der Tiere","med"
"Justus-Liebig-Universität Gießen","Institute for Geosciences and Lithosphere Research","mint"
"Justus-Liebig-Universität Gießen","Institute of Plant Nutrition","agrar"
"KTH Royal Institute of Technology","Department of Mathematics","mint"
"Kagoshima University","Department of Earth and Environmental Sciences","mint"
"Karl Landsteiner University of Health Sciences","Biomedical and Public Health Ethics","med"
"Karl-Franzens-Universität Graz","German Department/Germanistik (German as a Foreign/Second Language)","sowi"
"Karlsruhe Institute of Technology","ECON","sowi"
"Karlsruhe Institute of Technology","Electrical Engineering","tech"
"Katholisches Kinderkrankenhaus Wilhelmstift","Wilhelmstift Catholic Children's Hospital","med"
"Kepler Universitätsklinikum","Division of Clinical Infectious Diseases","med"
"Kiel Institut für Weltwirtschaft","Christoph Trebesch is Professor of Economics at Kiel University","sowi"
"Kiel Institut für Weltwirtschaft","Department of Economics and Centre for Modern East Asian Studies","sowi"
"Kiel Institut für Weltwirtschaft","Walther-Schücking-Institute for International Law","jura"
"King Abdullah University of Science and Technology","Biological, Environmental Science and Engineering Division","tech"
"King Abdullah University of Science and Technology","King Abdullah University of Science and Technology Physical Sciences and Engineering Division","tech"
"King's College London","Dickson Poon School of Law","jura"
"Klinik und Poliklinik für Psychotherapie und Psychosomatik","Universitätsklinikum Dresden","med"
"Klinikum Bremen-Mitte","Department of Internal Medicine I","med"
"Klinikum Bremen-Mitte","Department of Neurology","med"
"Klinikum Bremen-Mitte","Department of Neurology Klinikum Bremen‐Mitte Bremen Germany","med"
"Klinikum Bremen-Mitte","Dept of Neurology","med"
"Klinikum Bremen-Mitte","Dept of Neuroradiology","med"
"Klinikum Lüneburg","Frauenklinik","med"
"Klinikum Oldenburg","Department of Hematology & Oncology","med"
"Klinikum Oldenburg","Department of Hematology and Oncology University Hospital Oldenburg","med"
"Klinikum Oldenburg","Department of Pediatrics and Pediatric Hematology/Oncology","med"
"Klinikum Oldenburg","Universitätsinstitut für Klinische Chemie und Laboratoriumsmedizin","med"
"Kobe University","Research Institute for Economics and Business","sowi"
"Kobe University","Research Institute for Economics and Business Administration (RIEB)","sowi"
"Korea Institute of Geoscience and Mineral Resources","Petroleum & Marine Research Division","mint"
"Korea Maritime and Ocean University","Division of Convergence on Marine Science","mint"
"Korea Maritime and Ocean University","Division of Marine Environment and Bioscience","mint"
"Korea Maritime and Ocean University","Ocean Science","mint"
"Krankenhaus St. Joseph-Stift Bremen","Department of Nephrology","med"
"Kumamoto University","Department of Earth and Environmental Sciences","mint"
"Kyoto University","Department of Electrical Engineering / Machine Translation","tech"
