short,long,llm_confirmed
University of Manchester,University of Duisburg-Essen,FALSE
University of Oslo,University of Manchester,FALSE
University of Helsinki,University of Manchester,FALSE
University of St Andrews,University of Manchester,FALSE
University of Manchester,University of Technology Malaysia,FALSE
University of Göttingen,University of Manchester,FALSE
University of Manchester,University Medical Center Freiburg,FALSE
University of Bonn,University of Manchester,FALSE
University of Manchester,University of Pennsylvania,FALSE
University of Manchester,"University of California, Davis",FALSE
University of Utah,University of Manchester,FALSE
Universitat de Barcelona,University of Manchester,FALSE
University of Manchester,University Hospital Cologne,FALSE
University of Sheffield,University of Manchester,FALSE
University of Vienna,University of Manchester,FALSE
University of Geneva,University of Manchester,FALSE
University of Manchester,University of Hawaii System,FALSE
University of Manchester,University of Hawaiʻi at Mānoa,FALSE
University of Agder,University of Manchester,FALSE
Université d'Angers,University of Manchester,FALSE
University of Manchester,University Hospital Münster,FALSE
University of Manchester,University of Saskatchewan,FALSE
University of Guelph,University of Manchester,FALSE
University of Birmingham,University of Manchester,FALSE
University of Kassel,University of Manchester,FALSE
University of Macerata,University of Manchester,FALSE
University of Delaware,University of Manchester,FALSE
University of Manchester,University of Southern Denmark,FALSE
University of Basel,University of Manchester,FALSE
University of Hohenheim,University of Manchester,FALSE
University of Bath,University of Manchester,FALSE
University of Leicester,University of Manchester,FALSE
University of Manchester,University of the Witwatersrand,FALSE
University of St.Gallen,University of Manchester,FALSE
University of Manchester,University of the Philippines System,FALSE
University of Alicante,University of Manchester,FALSE
University of Coimbra,University of Manchester,FALSE
University of Bergen,University of Manchester,FALSE
University of Maine,University of Manchester,FALSE
University of Crete,University of Manchester,FALSE
University of Hong Kong,University of Manchester,FALSE
University of Guam,University of Manchester,FALSE
University of Groningen,University of Manchester,FALSE
University of Siegen,University of Manchester,FALSE
University of Padua,University of Manchester,FALSE
University of Chittagong,University of Manchester,FALSE
University of Würzburg,University of Manchester,FALSE
University of Georgia,University of Manchester,FALSE
University of Cambridge,University of Manchester,FALSE
University of Wollongong,University of Manchester,FALSE
University of Washington,University of Manchester,FALSE
University of Tsukuba,University of Manchester,FALSE
University of Passau,University of Manchester,FALSE
University of Potsdam,University of Manchester,FALSE
University of Glasgow,University of Manchester,FALSE
University of Ottawa,University of Manchester,FALSE
University of Manchester,University of Liberal Arts Bangladesh,FALSE
University of Manchester,University of Connecticut,FALSE
University of Tasmania,University of Manchester,FALSE
University of Manchester,"University of California, Berkeley",FALSE
University of Calgary,University of Manchester,FALSE
University of Bern,University of Manchester,FALSE
University of Twente,University of Manchester,FALSE
University of Rzeszów,University of Manchester,FALSE
University of Manchester,University of Johannesburg,FALSE
University of Indonesia,University of Manchester,FALSE
University of York,University of Manchester,FALSE
University of Manchester,University of Santo Tomas,FALSE
University of Manchester,University of East Anglia,FALSE
University of Tartu,University of Manchester,FALSE
University of Ghana,University of Manchester,FALSE
University of Manchester,University of Applied Sciences Stralsund,FALSE
Université de Rennes,University of Manchester,FALSE
University of Manchester,University of Rhode Island,FALSE
University of Manchester,University of the Philippines Diliman,FALSE
University of Waikato,University of Manchester,FALSE
University of Manchester,University of Health and Allied Sciences,FALSE
University of Bradford,University of Manchester,FALSE
University of Madras,University of Manchester,FALSE
University of Bayreuth,University of Manchester,FALSE
University of London,University of Manchester,FALSE
University of Manchester,Université de Montpellier,FALSE
University of Skikda,University of Manchester,FALSE
University of Manchester,University of Central Oklahoma,FALSE
University of Peradeniya,University of Manchester,FALSE
University of Kent,University of Manchester,FALSE
University of Manchester,University of the Arts Bremen,FALSE
University of Bologna,University of Manchester,FALSE
University of Regensburg,University of Manchester,FALSE
University of Malta,University of Manchester,FALSE
Universitat de Girona,University of Manchester,FALSE
University of Otago,University of Manchester,FALSE
University of Manchester,University of Milano-Bicocca,FALSE
University of Wuppertal,University of Manchester,FALSE
University of Manchester,"University of Maryland, Baltimore County",FALSE
University of Manchester,University of Pedagogical Sciences,FALSE
University of Denver,University of Manchester,FALSE
University of Exeter,University of Manchester,FALSE
University of Hormozgan,University of Manchester,FALSE
University of Canterbury,University of Manchester,FALSE
University of Edinburgh,University of Manchester,FALSE
University of Allahabad,University of Manchester,FALSE
University of Manchester,Université Grenoble Alpes,FALSE
University of Portsmouth,University of Manchester,FALSE
University of Manchester,University of Science and Technology of China,FALSE
University of Rajasthan,University of Manchester,FALSE
University of Manchester,University of Finance - Marketing,FALSE
University of Sharjah,University of Manchester,FALSE
University of Delhi,University of Manchester,FALSE
University of Warsaw,University of Manchester,FALSE
University of Oulu,University of Manchester,FALSE
University of Waterloo,University of Manchester,FALSE
University of Haifa,University of Manchester,FALSE
University of Ulster,University of Manchester,FALSE
University of Manchester,University of Applied Sciences Mainz,FALSE
University of Pretoria,University of Manchester,FALSE
University of Łódź,University of Manchester,FALSE
University of Lisbon,University of Manchester,FALSE
University of Amsterdam,University of Manchester,FALSE
University of Vechta,University of Manchester,FALSE
University of Macau,University of Manchester,FALSE
University of Miami,University of Manchester,FALSE
University of Manchester,University of the Ryukyus,FALSE
University of Manitoba,University of Manchester,FALSE
University of Michigan,University of Manchester,FALSE
University of Manchester,University Hospital of Basel,FALSE
University of Manchester,University of Louisiana at Lafayette,FALSE
University of Trieste,University of Manchester,FALSE
University of Ibadan,University of Manchester,FALSE
University of Wales,University of Manchester,FALSE
University of Pittsburgh,University of Manchester,FALSE
University of Verona,University of Manchester,FALSE
University of Bristol,University of Manchester,FALSE
University of Manchester,University Hospital Zurich,FALSE
University of Hildesheim,University of Manchester,FALSE
University of Manchester,University of New Hampshire,FALSE
University of Manchester,University of New Hampshire at Manchester,FALSE
University of Manchester,University of North Texas,FALSE
University of Manchester,University of Finance and Economics,FALSE
University of Manchester,University Hospital Regensburg,FALSE
University of Turku,University of Manchester,FALSE
University of Gothenburg,University of Manchester,FALSE
University of Manchester,Universiti Malaysia Terengganu,FALSE
University of Mauritius,University of Manchester,FALSE
University of Magdalena,University of Manchester,FALSE
University of Dhaka,University of Manchester,FALSE
University of Manchester,University of British Columbia,FALSE
University of Chicago,University of Manchester,FALSE
University of Manchester,University Children's Hospital Tübingen,FALSE
University of Venda,University of Manchester,FALSE
University of Manchester,University of the Free State,FALSE
University of Trnava,University of Manchester,FALSE
University of Manchester,University Hospital of Bern,FALSE
Universität Münster,University of Manchester,FALSE
University of Hamburg,University of Manchester,FALSE
University of Bremen,University of Manchester,FALSE
University of Manchester,University of Texas at Austin,FALSE
University of Manchester,University of California Los Angeles,FALSE
University of Manchester,University of Technology Sydney,FALSE
University of Lübeck,University of Manchester,FALSE
University of Manchester,University of the Philippines Cebu,FALSE
Universitat Hamburg,University of Manchester,FALSE
University of Manchester,University of South Carolina,FALSE
University of Manchester,University of Western Australia,FALSE
University of the Punjab,University of Manchester,FALSE
Alfred Wegener Institute,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,TRUE
University Cancer Center Hamburg,University Medical Center Hamburg-Eppendorf,TRUE
University Medical Center,University Medical Center Hamburg-Eppendorf,FALSE
University Medical Center Hamburg-Eppendorf,University Medical Center of the Johannes Gutenberg University Mainz,FALSE
University Medical Center Freiburg,University Medical Center Hamburg-Eppendorf,FALSE
University Medical Center Groningen,University Medical Center Hamburg-Eppendorf,FALSE
University of Canterbury,University Medical Center Hamburg-Eppendorf,FALSE
German Institute for Global and Area Studies,German Institute for Global and Area Studies (GIGA),TRUE
German Institute for Economic Research,German Institute for Global and Area Studies,FALSE
German Institute for Global and Area Studies,German Institute of Development and Sustainability,FALSE
German Institute for Global and Area Studies,German Inflammatory Bowel Diseases Study Group,FALSE
Evangelische Hochschule Freiburg,Evangelisches Krankenhaus Oldenburg,FALSE
University of Zurich,University of the Basque Country,FALSE
University of Stuttgart,University of the Basque Country,FALSE
University of South Australia,University of the Basque Country,FALSE
University of Alberta,University of the Basque Country,FALSE
University of Cologne,University of the Basque Country,FALSE
University of the Basque Country,"University of Maryland, College Park",FALSE
University of Baghdad,University of the Basque Country,FALSE
University of the Basque Country,University of Newcastle Australia,FALSE
University of Konstanz,University of the Basque Country,FALSE
University of Tübingen,University of the Basque Country,FALSE
University of Southampton,University of the Basque Country,FALSE
University of Toronto,University of the Basque Country,FALSE
University of Copenhagen,University of the Basque Country,FALSE
University of Iceland,University of the Basque Country,FALSE
University of Reading,University of the Basque Country,FALSE
University of Nottingham,University of the Basque Country,FALSE
University of Oxford,University of the Basque Country,FALSE
University of Liège,University of the Basque Country,FALSE
University of Erfurt,University of the Basque Country,FALSE
University of Malaya,University of the Basque Country,FALSE
University of Central Asia,University of the Basque Country,FALSE
University of Aberdeen,University of the Basque Country,FALSE
University of Szczecin,University of the Basque Country,FALSE
University of Colorado Boulder,University of the Basque Country,FALSE
University of Iowa,University of the Basque Country,FALSE
University of Nairobi,University of the Basque Country,FALSE
University of Hyderabad,University of the Basque Country,FALSE
University of Münster,University of the Basque Country,FALSE
University of Auckland,University of the Basque Country,FALSE
University of Freiburg,University of the Basque Country,FALSE
University of Duisburg-Essen,University of the Basque Country,FALSE
University of Oslo,University of the Basque Country,FALSE
University of Helsinki,University of the Basque Country,FALSE
University of St Andrews,University of the Basque Country,FALSE
University of the Basque Country,University of Technology Malaysia,FALSE
University of Göttingen,University of the Basque Country,FALSE
University of Bonn,University of the Basque Country,FALSE
University of Utah,University of the Basque Country,FALSE
University of Sheffield,University of the Basque Country,FALSE
University of Vienna,University of the Basque Country,FALSE
University of Geneva,University of the Basque Country,FALSE
University of Hawaii System,University of the Basque Country,FALSE
University of Agder,University of the Basque Country,FALSE
University of Saskatchewan,University of the Basque Country,FALSE
University of Guelph,University of the Basque Country,FALSE
University of Birmingham,University of the Basque Country,FALSE
University of Kassel,University of the Basque Country,FALSE
University of Macerata,University of the Basque Country,FALSE
University of Delaware,University of the Basque Country,FALSE
University of Southern Denmark,University of the Basque Country,FALSE
University of Basel,University of the Basque Country,FALSE
University of Hohenheim,University of the Basque Country,FALSE
University of Bath,University of the Basque Country,FALSE
University of Leicester,University of the Basque Country,FALSE
University of the Witwatersrand,University of the Basque Country,FALSE
University of St.Gallen,University of the Basque Country,FALSE
University of the Basque Country,University of the Philippines System,FALSE
University of Alicante,University of the Basque Country,FALSE
University of Coimbra,University of the Basque Country,FALSE
University of Bergen,University of the Basque Country,FALSE
University of Maine,University of the Basque Country,FALSE
University of Crete,University of the Basque Country,FALSE
University of Hong Kong,University of the Basque Country,FALSE
University of Guam,University of the Basque Country,FALSE
University of Groningen,University of the Basque Country,FALSE
University of Siegen,University of the Basque Country,FALSE
University of Padua,University of the Basque Country,FALSE
University of Chittagong,University of the Basque Country,FALSE
University of Georgia,University of the Basque Country,FALSE
University of Cambridge,University of the Basque Country,FALSE
University of Washington,University of the Basque Country,FALSE
University of Tsukuba,University of the Basque Country,FALSE
University of Tsukuba Hospital,University of the Basque Country,FALSE
University of Passau,University of the Basque Country,FALSE
University of Potsdam,University of the Basque Country,FALSE
University of Glasgow,University of the Basque Country,FALSE
University of Ottawa,University of the Basque Country,FALSE
University of the Basque Country,University of Liberal Arts Bangladesh,FALSE
University of Connecticut,University of the Basque Country,FALSE
University of Tasmania,University of the Basque Country,FALSE
University of the Basque Country,"University of California, Berkeley",FALSE
University of Calgary,University of the Basque Country,FALSE
University of Bern,University of the Basque Country,FALSE
University of Twente,University of the Basque Country,FALSE
University of Rzeszów,University of the Basque Country,FALSE
University of Johannesburg,University of the Basque Country,FALSE
University of Indonesia,University of the Basque Country,FALSE
University of York,University of the Basque Country,FALSE
University of Santo Tomas,University of the Basque Country,FALSE
University of East Anglia,University of the Basque Country,FALSE
University of Tartu,University of the Basque Country,FALSE
University of Ghana,University of the Basque Country,FALSE
University of Rhode Island,University of the Basque Country,FALSE
University of the Basque Country,University of the Philippines Diliman,FALSE
University of Waikato,University of the Basque Country,FALSE
University of Bradford,University of the Basque Country,FALSE
University of Madras,University of the Basque Country,FALSE
University of Bayreuth,University of the Basque Country,FALSE
University of London,University of the Basque Country,FALSE
University of Central Oklahoma,University of the Basque Country,FALSE
University of Peradeniya,University of the Basque Country,FALSE
University of Kent,University of the Basque Country,FALSE
University of the Arts Bremen,University of the Basque Country,FALSE
University of Bologna,University of the Basque Country,FALSE
University of Regensburg,University of the Basque Country,FALSE
University of Malta,University of the Basque Country,FALSE
University of Otago,University of the Basque Country,FALSE
University of Wuppertal,University of the Basque Country,FALSE
University of the Basque Country,"University of Maryland, Baltimore County",FALSE
University of Denver,University of the Basque Country,FALSE
University of Exeter,University of the Basque Country,FALSE
University of Hormozgan,University of the Basque Country,FALSE
University of Canterbury,University of the Basque Country,FALSE
University of Edinburgh,University of the Basque Country,FALSE
University of Portsmouth,University of the Basque Country,FALSE
University of Rajasthan,University of the Basque Country,FALSE
University of Sharjah,University of the Basque Country,FALSE
University of Delhi,University of the Basque Country,FALSE
University of Warsaw,University of the Basque Country,FALSE
University of Oulu,University of the Basque Country,FALSE
University of Waterloo,University of the Basque Country,FALSE
University of Haifa,University of the Basque Country,FALSE
University of Ulster,University of the Basque Country,FALSE
University of Pretoria,University of the Basque Country,FALSE
University of Lisbon,University of the Basque Country,FALSE
University of Amsterdam,University of the Basque Country,FALSE
University of Vechta,University of the Basque Country,FALSE
University of Macau,University of the Basque Country,FALSE
University of Miami,University of the Basque Country,FALSE
University of the Ryukyus,University of the Basque Country,FALSE
University of Manitoba,University of the Basque Country,FALSE
University of Michigan,University of the Basque Country,FALSE
University of the Basque Country,University of Louisiana at Lafayette,FALSE
University of Trieste,University of the Basque Country,FALSE
University of Ibadan,University of the Basque Country,FALSE
University of Wales,University of the Basque Country,FALSE
University of Pittsburgh,University of the Basque Country,FALSE
University of Verona,University of the Basque Country,FALSE
University of Bristol,University of the Basque Country,FALSE
University of Hildesheim,University of the Basque Country,FALSE
University of New Hampshire,University of the Basque Country,FALSE
University of the Basque Country,University of New Hampshire at Manchester,FALSE
University of North Texas,University of the Basque Country,FALSE
University of Turku,University of the Basque Country,FALSE
University of Gothenburg,University of the Basque Country,FALSE
University of the Basque Country,University of Tennessee at Knoxville,FALSE
University of Mauritius,University of the Basque Country,FALSE
University of Dhaka,University of the Basque Country,FALSE
University of British Columbia,University of the Basque Country,FALSE
University of Chicago,University of the Basque Country,FALSE
University of Venda,University of the Basque Country,FALSE
University of the Free State,University of the Basque Country,FALSE
University of Trnava,University of the Basque Country,FALSE
University Hospital of Bern,University of the Basque Country,FALSE
University of Hamburg,University of the Basque Country,FALSE
University of Bremen,University of the Basque Country,FALSE
University of Texas at Austin,University of the Basque Country,FALSE
University of Technology Sydney,University of the Basque Country,FALSE
University of Lübeck,University of the Basque Country,FALSE
University of the Basque Country,University of the Philippines Cebu,FALSE
University of South Carolina,University of the Basque Country,FALSE
University of Western Australia,University of the Basque Country,FALSE
University of the Punjab,University of the Basque Country,FALSE
University of Manchester,University of the Basque Country,FALSE
Universidade Federal do Amapá,Universidad Complutense de Madrid,FALSE
University of Central Asia,Universidad Complutense de Madrid,FALSE
Universidade da Coruña,Universidad Complutense de Madrid,FALSE
Universidad Politécnica de Madrid,Universidad Complutense de Madrid,FALSE
Universitat de Barcelona,Universidad Complutense de Madrid,FALSE
Universidad Complutense de Madrid,Universidade Estadual de Campinas (UNICAMP),FALSE
Universidad de Granada,Universidad Complutense de Madrid,FALSE
Universidad de Salamanca,Universidad Complutense de Madrid,FALSE
Universidad Autónoma de Madrid,Universidad Complutense de Madrid,FALSE
Universidade Federal da Bahia,Universidad Complutense de Madrid,FALSE
Universidade de Brasília,Universidad Complutense de Madrid,FALSE
Universidad de León,Universidad Complutense de Madrid,FALSE
Université de Montpellier,Universidad Complutense de Madrid,FALSE
Universidade do Porto,Universidad Complutense de Madrid,FALSE
Universidade Federal Fluminense,Universidad Complutense de Madrid,FALSE
Universidad Complutense de Madrid,Universidad Cristiana de las Asambleas de Dios,FALSE
Universidad Complutense de Madrid,Universidad Católica de El Salvador,FALSE
Universidade do Estado do Pará,Universidad Complutense de Madrid,FALSE
Universidad de Londres,Universidad Complutense de Madrid,FALSE
Universidad de Costa Rica,Universidad Complutense de Madrid,FALSE
Research Institute for Sustainability at GFZ,Research Institute of Cultural Heritage and Tourism,FALSE
Research Institute for Humanity and Nature,Research Institute of Cultural Heritage and Tourism,FALSE
Research Institute for Farm Animal Biology (FBN),Research Institute of Cultural Heritage and Tourism,FALSE
Research Institute of Cultural Heritage and Tourism,"Research Institute for Information Technology, Kyushu University",FALSE
Research Institute for Aquaculture No1,Research Institute of Cultural Heritage and Tourism,FALSE
Research Institute of Cultural Heritage and Tourism,Research Institute of Automotive Engineering and Vehicle Engines Stuttgart,FALSE
Research Institute for Tropical Medicine,Research Institute of Cultural Heritage and Tourism,FALSE
Research,Research!America (United States),TRUE
University of Zurich,University of Plymouth,FALSE
University of Plymouth,University of Stuttgart,FALSE
University of Plymouth,University of South Australia,FALSE
University of Alberta,University of Plymouth,FALSE
University of Cologne,University of Plymouth,FALSE
University of Plymouth,"University of Maryland, Baltimore",FALSE
University of Plymouth,"University of Maryland, College Park",FALSE
University of Baghdad,University of Plymouth,FALSE
University of Plymouth,University Hospital Ulm,FALSE
University of Konstanz,University of Plymouth,FALSE
University of Tübingen,University of Plymouth,FALSE
University of Plymouth,University of Southampton,FALSE
University of Toronto,University of Plymouth,FALSE
University of Plymouth,University of Copenhagen,FALSE
University of Iceland,University of Plymouth,FALSE
University of Reading,University of Plymouth,FALSE
University of Plymouth,University of Nottingham,FALSE
University of Plymouth,University Hospital Magdeburg,NA
University of Oxford,University of Plymouth,FALSE
University of Liège,University of Plymouth,FALSE
University of Plymouth,University of Faisalabad,FALSE
University of Erfurt,University of Plymouth,FALSE
University of Malaya,University of Plymouth,FALSE
University of Plymouth,University of Central Asia,FALSE
University of Aberdeen,University of Plymouth,FALSE
University of Szczecin,University of Plymouth,FALSE
University of Plymouth,University of Colorado Boulder,FALSE
University of Iowa,University of Plymouth,FALSE
University of Nairobi,University of Plymouth,FALSE
University of Plymouth,University of Hyderabad,FALSE
University of Münster,University of Plymouth,FALSE
University of Auckland,University of Plymouth,FALSE
University of Plymouth,University of Liverpool,FALSE
University of Freiburg,University of Plymouth,FALSE
University of Oslo,University of Plymouth,FALSE
University of Helsinki,University of Plymouth,FALSE
University of Plymouth,University Hospital Leipzig,FALSE
University of Plymouth,University of St Andrews,FALSE
University of Plymouth,University of Technology Malaysia,FALSE
University of Plymouth,University of Göttingen,FALSE
University of Bonn,University of Plymouth,FALSE
University of Plymouth,University of Pennsylvania,FALSE
University of Utah,University of Plymouth,FALSE
University of Plymouth,"University of California, Santa Cruz",FALSE
University of Plymouth,University Hospital Cologne,FALSE
University of Plymouth,University of Sheffield,FALSE
University of Vienna,University of Plymouth,FALSE
University of Geneva,University of Plymouth,FALSE
University of Plymouth,University of Hawaii System,FALSE
University of Plymouth,University of Hawaiʻi at Mānoa,FALSE
University of Agder,University of Plymouth,FALSE
University of Plymouth,University Hospital Münster,FALSE
University of Plymouth,University of Saskatchewan,FALSE
University of Guelph,University of Plymouth,FALSE
University of Plymouth,University of Birmingham,FALSE
University of Kassel,University of Plymouth,FALSE
Universität Ulm,University of Plymouth,FALSE
University of Macerata,University of Plymouth,FALSE
University of Delaware,University of Plymouth,FALSE
University of Plymouth,University of Southern Denmark,FALSE
University of Basel,University of Plymouth,FALSE
University of Plymouth,University of Hohenheim,FALSE
University of Bath,University of Plymouth,FALSE
University of Plymouth,University of Leicester,FALSE
University of Plymouth,University of St.Gallen,FALSE
University of Plymouth,University of the Philippines System,FALSE
University of Alicante,University of Plymouth,FALSE
University of Coimbra,University of Plymouth,FALSE
University of Bergen,University of Plymouth,FALSE
University of Maine,University of Plymouth,FALSE
University of Crete,University of Plymouth,FALSE
University of Plymouth,University of Hong Kong,FALSE
University of Guam,University of Plymouth,FALSE
University of Plymouth,University of Groningen,FALSE
University of Siegen,University of Plymouth,FALSE
University of Padua,University of Plymouth,FALSE
University of Plymouth,University of Chittagong,FALSE
University of Würzburg,University of Plymouth,FALSE
University of Georgia,University of Plymouth,FALSE
University of Plymouth,University of Cambridge,FALSE
University of Plymouth,University of Wollongong,FALSE
University of Plymouth,University of Washington,FALSE
University of Tsukuba,University of Plymouth,FALSE
University of Plymouth,University of Tsukuba Hospital,FALSE
University of Passau,University of Plymouth,FALSE
University of Potsdam,University of Plymouth,FALSE
University of Glasgow,University of Plymouth,FALSE
University of Ottawa,University of Plymouth,FALSE
University of Plymouth,University of Connecticut,FALSE
University of Tasmania,University of Plymouth,FALSE
University of Calgary,University of Plymouth,FALSE
University of Bern,University of Plymouth,FALSE
University of Twente,University of Plymouth,FALSE
University of Rzeszów,University of Plymouth,FALSE
University of Plymouth,University of Johannesburg,FALSE
University of Plymouth,University of Indonesia,FALSE
University of York,University of Plymouth,FALSE
University of Plymouth,University of Santo Tomas,FALSE
University of Plymouth,University of East Anglia,FALSE
University of Tartu,University of Plymouth,FALSE
University of Ghana,University of Plymouth,FALSE
University of Plymouth,University of Rhode Island,FALSE
University of Waikato,University of Plymouth,FALSE
University of Bradford,University of Plymouth,FALSE
University of Madras,University of Plymouth,FALSE
University of Bayreuth,University of Plymouth,FALSE
University of London,University of Plymouth,FALSE
University of Skikda,University of Plymouth,FALSE
University of Plymouth,University of Central Oklahoma,FALSE
University of Plymouth,University of Peradeniya,FALSE
University of Kent,University of Plymouth,FALSE
University of Plymouth,University of the Arts Bremen,FALSE
Universidade do Porto,University of Plymouth,FALSE
University of Bologna,University of Plymouth,FALSE
University of Plymouth,University of Regensburg,FALSE
University of Malta,University of Plymouth,FALSE
University of Otago,University of Plymouth,FALSE
University of Plymouth,University of Milano-Bicocca,FALSE
University of Plymouth,University of Wuppertal,FALSE
University of Plymouth,"University of Maryland, Baltimore County",FALSE
University of Denver,University of Plymouth,FALSE
University of Exeter,University of Plymouth,FALSE
University of Plymouth,University of Hormozgan,FALSE
University of Plymouth,University of Canterbury,FALSE
University of Plymouth,University of Edinburgh,FALSE
University of Plymouth,University of Allahabad,FALSE
University of Plymouth,University of Portsmouth,FALSE
University of Plymouth,University of Rajasthan,FALSE
University of Sharjah,University of Plymouth,FALSE
University of Delhi,University of Plymouth,FALSE
University of Warsaw,University of Plymouth,FALSE
University of Oulu,University of Plymouth,FALSE
University of Waterloo,University of Plymouth,FALSE
University of Haifa,University of Plymouth,FALSE
University of Ulster,University of Plymouth,FALSE
University of Pretoria,University of Plymouth,FALSE
University of Łódź,University of Plymouth,FALSE
University of Lisbon,University of Plymouth,FALSE
University of Plymouth,University of Amsterdam,FALSE
University of Vechta,University of Plymouth,FALSE
University of Macau,University of Plymouth,FALSE
University of Miami,University of Plymouth,FALSE
University of Plymouth,University of the Ryukyus,FALSE
University of Manitoba,University of Plymouth,FALSE
University of Michigan,University of Plymouth,FALSE
University of Plymouth,University Hospital of Basel,FALSE
University of Plymouth,University of Louisiana at Lafayette,FALSE
University of Trieste,University of Plymouth,FALSE
University of Ibadan,University of Plymouth,FALSE
University of Wales,University of Plymouth,FALSE
University of Plymouth,University of Pittsburgh,FALSE
University of Verona,University of Plymouth,FALSE
University of Bristol,University of Plymouth,FALSE
University of Plymouth,University Hospital Zurich,FALSE
University of Plymouth,University of Hildesheim,FALSE
University of Plymouth,University of New Hampshire,FALSE
University of Plymouth,University of North Texas,FALSE
University of Plymouth,University Hospital Regensburg,FALSE
University of Turku,University of Plymouth,FALSE
University of Plymouth,University of Gothenburg,FALSE
University of Plymouth,University of Mauritius,FALSE
University of Plymouth,University of Magdalena,FALSE
University of Dhaka,University of Plymouth,FALSE
University of Plymouth,Universiti Putra Malaysia,FALSE
University of Plymouth,University of British Columbia,FALSE
University of Chicago,University of Plymouth,FALSE
University of Venda,University of Plymouth,FALSE
University of Plymouth,University of the Free State,FALSE
University of Trnava,University of Plymouth,FALSE
University of Plymouth,University Hospital of Bern,FALSE
University of Hamburg,University of Plymouth,FALSE
University of Bremen,University of Plymouth,FALSE
University of Plymouth,University of Technology Sydney,FALSE
University of Lübeck,University of Plymouth,FALSE
University of Plymouth,University of the Philippines Cebu,FALSE
University of Plymouth,University of South Carolina,FALSE
University of Plymouth,University of Western Australia,FALSE
University of Plymouth,University of the Punjab,FALSE
University of Plymouth,University of Manchester,FALSE
University of Plymouth,University of the Basque Country,FALSE
Technische Universität Dresden,Technische Universitat Darmstadt,FALSE
Technische Universität Darmstadt,Technische Universitat Darmstadt,TRUE
Technische Universität Clausthal,Technische Universitat Darmstadt,FALSE
Technische Universität Berlin,Technische Universitat Darmstadt,FALSE
Technische Universitat Darmstadt,Technische Universität Braunschweig,FALSE
Technische Universität Ilmenau,Technische Universitat Darmstadt,FALSE
Technische Universität Hamburg,Technische Universitat Darmstadt,FALSE
Technische Universitat Darmstadt,Technische Universität Hamburg-Harburg,FALSE
Technische Universität Dortmund,Technische Universitat Darmstadt,FALSE
Southwest Petroleum University,Southwestern Baptist Theological Seminary,FALSE
Southwest General Health Center,Southwestern Baptist Theological Seminary,FALSE
International Mission Board,International Institute for Population Sciences,FALSE
International Mission Board,International Islamic University Chittagong,FALSE
International University,International Mission Board,FALSE
International Mission Board,International Zinc Association,FALSE
International Mission Board,International University of Kagoshima,FALSE
International Mission Board,International Christian University,FALSE
International Monetary Fund,International Mission Board,FALSE
International Mission Board,International University of Monaco,FALSE
Ariel University,Liberty University,FALSE
Universität Bremen,Universiteit Leiden,FALSE
Universiteit Leiden,Universität Greifswald,FALSE
Universität Lübeck,Universiteit Leiden,FALSE
Universiteit Leiden,University Hospital Heidelberg,FALSE
Universiteit Leiden,University of Iceland,FALSE
Universiteit Leiden,University of Reading,FALSE
University of Liège,Universiteit Leiden,FALSE
Universiteit Leiden,University Medical Center,FALSE
Universiteit Leiden,University of Aberdeen,FALSE
Universiteit Leiden,Université de Montréal,FALSE
Universiteit Leiden,University of Helsinki,FALSE
Universiteit Leiden,University Medical Center Freiburg,FALSE
Universiteit Leiden,Universitat de Barcelona,FALSE
Universiteit Leiden,University of Sheffield,FALSE
Universiteit Leiden,University of Vienna,FALSE
Universität Ulm,Universiteit Leiden,FALSE
Universiteit Leiden,University of Leicester,FALSE
Universiteit Leiden,University of St.Gallen,FALSE
Universiteit Leiden,University of the Philippines System,FALSE
Universiteit Leiden,University of Alicante,FALSE
Universiteit Leiden,University of Bergen,FALSE
Universiteit Leiden,Université de Perpignan,FALSE
University of Crete,Universiteit Leiden,FALSE
Universiteit Leiden,University of Siegen,FALSE
Universiteit Leiden,Université Paris Sciences et Lettres,FALSE
Universiteit Leiden,University Medical Center Groningen,TRUE
Universiteit Leiden,Universitat de Lleida,FALSE
Universiteit Leiden,University of Twente,FALSE
Universiteit Leiden,University of Indonesia,FALSE
Universität Trier,Universiteit Leiden,FALSE
Universiteit Leiden,Universiti Brunei Darussalam,FALSE
Universidad de León,Universiteit Leiden,FALSE
Universiteit Leiden,Université de Rennes,FALSE
Universiteit Leiden,University of London,FALSE
Universiteit Leiden,Université de Montpellier,FALSE
University of Kent,Universiteit Leiden,FALSE
Universiteit Leiden,Universitat de Girona,FALSE
Universiteit Leiden,University of Pedagogical Sciences,FALSE
Universiteit Leiden,University of Denver,FALSE
Universiteit Leiden,University of Exeter,FALSE
Universiteit Leiden,Université Gustave Eiffel,FALSE
University of Delhi,Universiteit Leiden,FALSE
Universiteit Leiden,Universidad Intercontinental,FALSE
Universiteit Leiden,University of Trieste,FALSE
Universiteit Leiden,University of Ibadan,FALSE
Universiteit Leiden,University of Hildesheim,FALSE
Universiteit Leiden,University Hospital Regensburg,FALSE
Universiteit Leiden,Universiti Malaysia Terengganu,FALSE
Universität Wien,Universiteit Leiden,FALSE
Universiteit Leiden,University of Bremen,FALSE
Universiteit Leiden,University College Dublin,FALSE
Universität zu Köln,Universiteit Leiden,FALSE
Universiteit Leiden,Universität Heidelberg,FALSE
